,Player,Year,Team,GP,Min,PER,EFF,EFF/40,EWA,Pos/G,Tm Pos/G,%Tm Pos,Pts/Pos,FGA/Pos,FTA/Pos,Ast/Pos,TO/Pos
0,Travis Bader,2013,Oakland,31,38.5,20.0,14.2,14.7,5.46,19.0,68.8,27.6%,1.14,0.84,0.32,0.05,0.07
1,Nate Wolters,2013,South Dakota St,31,38.5,32.3,24.2,25.1,12.75,19.5,64.5,30.2%,1.16,0.79,0.37,0.30,0.12
2,Trey Sumler,2013,WCU,30,38.5,20.6,15.8,16.5,5.60,18.3,66.7,27.4%,1.00,0.77,0.29,0.19,0.20
3,Eric Atkins,2013,Notre Dame,35,38.3,16.3,12.6,13.2,3.66,11.0,63.6,17.2%,1.03,0.82,0.27,0.50,0.19
4,Kyle Vinales,2013,CCSU,30,38.2,18.9,13.8,14.4,4.60,22.6,71.9,31.4%,0.96,0.82,0.20,0.17,0.15
5,Juan'ya Green,2013,Niagara,33,38.0,20.3,16.2,17.0,5.91,16.9,69.8,24.3%,0.98,0.78,0.31,0.29,0.16
6,Anthony Ireland,2013,LMU,33,37.9,21.7,15.6,16.4,6.76,19.8,65.8,30.2%,1.01,0.82,0.30,0.18,0.17
7,Siyani Chambers,2013,Harvard,29,37.9,16.6,13.1,13.8,3.15,13.5,64.6,20.9%,0.92,0.64,0.32,0.42,0.26
8,Bryce Cotton,2013,Providence,32,37.8,23.4,16.7,17.7,7.54,16.4,66.2,24.7%,1.20,0.85,0.34,0.18,0.09
9,Khalid Mutakabbir,2013,Presbyterian,29,37.8,15.1,10.7,11.3,2.34,16.0,62.9,25.4%,0.97,0.82,0.22,0.15,0.19
10,Wesley Saunders,2013,Harvard,29,37.8,21.6,16.3,17.3,5.85,15.6,64.6,24.1%,1.05,0.68,0.45,0.22,0.20
11,Devon Saddler,2013,Delaware,33,37.8,20.7,15.2,16.1,6.14,19.7,67.6,29.2%,1.01,0.78,0.32,0.14,0.16
12,Sean McGonagill,2013,Brown,27,37.7,14.7,12.1,12.9,1.97,15.4,65.2,23.7%,0.91,0.81,0.18,0.24,0.20
13,Ray Gallegos,2013,Nebraska,33,37.5,13.4,8.9,9.5,1.61,13.6,61.6,22.1%,0.91,0.92,0.10,0.09,0.08
14,Trey Freeman,2013,Campbell,30,37.4,17.4,14.3,15.3,3.67,15.4,68.8,22.4%,0.91,0.75,0.26,0.37,0.18
15,Ray McCallum,2013,Detroit,31,37.3,25.2,19.8,21.2,8.26,16.3,69.7,23.4%,1.13,0.82,0.38,0.27,0.12
16,Myck Kabongo,2013,Texas,11,37.3,20.6,16.5,17.8,1.99,15.8,68.0,23.3%,0.92,0.63,0.44,0.35,0.21
17,Shabazz Napier,2013,Connecticut,28,37.3,24.2,18.3,19.6,6.95,15.8,67.3,23.5%,1.08,0.75,0.32,0.29,0.15
18,Paris Gulley,2013,Milwaukee,25,37.2,13.0,9.3,10.0,1.00,14.6,66.7,21.9%,0.99,0.88,0.24,0.10,0.13
19,Jahii Carson,2013,Arizona St,35,37.2,20.0,15.9,17.1,5.92,19.3,68.7,28.0%,0.96,0.72,0.31,0.26,0.18
20,DeAndre Kane,2013,Marshall,27,37.2,15.9,13.1,14.1,2.54,17.3,69.3,24.9%,0.87,0.78,0.35,0.40,0.25
21,Matt Hunter,2013,CCSU,30,37.2,18.3,16.5,17.7,4.17,17.8,71.9,24.8%,0.88,0.79,0.25,0.15,0.19
22,Isaiah Canaan,2013,Murray St,29,37.1,25.3,18.0,19.4,7.76,21.2,67.8,31.3%,1.06,0.78,0.29,0.20,0.16
23,Raijon Kelly,2013,Samford,31,37.1,15.2,11.2,12.1,2.53,15.3,62.2,24.7%,0.92,0.80,0.18,0.31,0.20
24,O.D. Anosike,2013,Siena,32,37.1,20.0,17.6,19.0,5.40,13.4,64.5,20.8%,0.99,0.74,0.46,0.12,0.20
25,Greg Gantt,2013,Fla Atlantic,31,37.0,21.2,14.4,15.5,5.96,20.2,67.0,30.1%,1.05,0.85,0.24,0.07,0.12
26,Jarvis Jones,2013,ETSU,25,36.8,15.3,10.4,11.3,2.05,18.0,66.3,27.1%,0.89,0.84,0.18,0.14,0.16
27,Matthew Dellavedova,2013,St Mary's,35,36.8,20.8,15.6,17.0,6.37,15.5,64.8,24.0%,1.00,0.78,0.27,0.41,0.18
28,Warren Niles,2013,Oral Roberts,34,36.8,20.3,14.4,15.6,5.87,17.2,67.0,25.7%,1.08,0.85,0.26,0.09,0.11
29,Ryan Woods,2013,NJIT,24,36.8,17.1,13.3,14.5,2.76,13.6,70.1,19.4%,1.09,0.89,0.22,0.11,0.12
30,Jimmy Gray,2013,Binghamton,29,36.8,10.2,8.5,9.3,-0.33,12.8,66.1,19.4%,0.81,0.78,0.08,0.25,0.26
31,Matt Sullivan,2013,Brown,27,36.7,17.2,12.7,13.9,3.12,13.7,65.2,21.1%,1.02,0.79,0.33,0.16,0.13
32,Lamont Jones,2013,Iona,34,36.6,22.4,16.8,18.3,7.21,21.0,72.2,29.1%,1.08,0.79,0.35,0.16,0.16
33,Patrick Miller,2013,Tennessee St,31,36.6,19.4,15.9,17.3,4.83,15.7,68.9,22.8%,0.98,0.72,0.37,0.36,0.22
34,Kendrick Perry,2013,Youngstown St,27,36.6,24.3,19.3,21.1,6.62,15.9,68.9,23.1%,1.12,0.77,0.40,0.24,0.13
35,Erick Green,2013,Virginia Tech,32,36.6,31.7,21.6,23.5,12.20,22.1,69.0,32.1%,1.13,0.78,0.38,0.17,0.10
36,Johnathan Jordan,2013,TAMUCC,29,36.6,18.8,14.2,15.5,4.21,13.3,63.2,21.1%,0.96,0.77,0.43,0.41,0.21
37,Marcus Thornton,2013,William & Mary,29,36.6,20.9,14.4,15.7,5.31,17.8,64.4,27.7%,1.06,0.77,0.25,0.16,0.17
38,D.J. Newbill,2013,Penn St,31,36.5,16.9,12.5,13.7,3.44,17.9,64.7,27.7%,0.91,0.78,0.35,0.23,0.22
39,Chandler Rhoads,2013,New Hampshire,28,36.5,11.8,8.9,9.7,0.49,14.2,64.1,22.2%,0.76,0.77,0.34,0.24,0.16
40,Jason Brickman,2013,Long Island,34,36.5,15.1,13.6,14.9,2.62,10.9,70.5,15.4%,0.87,0.58,0.24,0.78,0.36
41,Jerrelle Benimon,2013,Towson,30,36.5,26.1,22.1,24.3,8.31,16.8,66.9,25.1%,1.04,0.69,0.40,0.15,0.23
42,Nick Russell,2013,SMU,31,36.5,13.8,10.8,11.8,1.68,18.1,64.4,28.1%,0.78,0.76,0.16,0.23,0.22
43,Preston Medlin,2013,Utah St,15,36.5,22.4,15.5,17.0,3.15,14.4,62.7,23.0%,1.12,0.74,0.34,0.23,0.13
44,Demitrius Conger,2013,St. Bonaventure,29,36.4,20.7,17.9,19.6,5.21,12.5,67.6,18.5%,1.14,0.77,0.38,0.25,0.19
45,Malcolm McMillan,2013,CCSU,30,36.4,12.8,11.8,12.9,1.09,9.0,71.9,12.4%,0.92,0.74,0.31,0.39,0.16
46,Shane Larkin,2013,Miami FL,36,36.4,22.9,16.5,18.1,7.87,13.6,64.0,21.3%,1.06,0.78,0.23,0.33,0.17
47,Ceola Clark,2013,Western Ill,28,36.4,21.4,13.9,15.3,5.39,11.8,57.8,20.3%,1.08,0.77,0.30,0.33,0.16
48,Devonta White,2013,Georgia St,30,36.4,17.8,12.1,13.3,3.79,15.2,64.9,23.5%,0.97,0.77,0.32,0.26,0.20
49,Antoine Mason,2013,Niagara,29,36.3,20.2,14.5,16.0,4.89,16.5,69.8,23.6%,1.13,0.79,0.46,0.09,0.13
50,Ryan Boatright,2013,Connecticut,30,36.3,18.8,13.5,14.9,4.34,16.0,67.3,23.7%,0.96,0.73,0.31,0.27,0.19
51,Jerian Grant,2013,Notre Dame,35,36.3,17.1,12.8,14.1,3.99,14.8,63.6,23.3%,0.90,0.74,0.26,0.37,0.19
52,Sean Armand,2013,Iona,34,36.3,20.3,16.6,18.3,5.81,14.2,72.2,19.7%,1.17,0.90,0.21,0.21,0.14
53,Mike Powell,2013,Rhode Island,29,36.2,8.9,6.8,7.5,-1.01,11.6,64.0,18.0%,0.77,0.75,0.32,0.34,0.23
54,Daniel Munoz,2013,American,30,36.2,10.2,7.8,8.6,-0.31,12.9,60.0,21.5%,0.80,0.74,0.21,0.28,0.20
