,Player,Year,Team,GP,Min,Pts,FGA,Pts/Play,TS%,eFG%,FTA/FGA,3PA/FGA,Ast,Ast/FGA,Ast/TO,PPR,Stl,Blk,PF
0,Terrence Hill,2003,Kennesaw St,1,40.0,6.0,12.0,0.36,0.23,0.17,0.25,0.25,1.00,0.08,0.33,-7.13,3.0,1.0,3.0
1,Tommy Thompson,2003,Kennesaw St,1,40.0,15.0,13.0,0.91,0.52,0.46,0.23,0.69,3.00,0.23,1.50,0.00,3.0,0.0,2.0
2,Luis Flores,2003,Manhattan,30,38.9,24.6,16.9,1.01,0.60,0.51,0.48,0.29,2.90,0.17,0.89,-3.38,1.9,0.4,2.3
3,Rick Apodaca,2003,Hofstra,15,38.8,18.1,15.6,0.80,0.50,0.45,0.37,0.58,4.27,0.27,1.05,-3.07,1.0,0.5,1.7
4,Michael Watson,2003,UMKC,29,38.8,25.5,22.6,0.87,0.51,0.47,0.26,0.51,3.76,0.17,1.03,-3.16,1.4,0.2,2.4
5,Aaron Thomas,2003,Robert Morris,26,38.7,12.3,9.4,1.04,0.59,0.56,0.23,0.58,1.77,0.19,1.31,-0.45,1.0,0.3,2.3
6,Troy Bell,2003,Boston College,31,38.6,25.2,16.4,1.08,0.62,0.55,0.53,0.52,3.71,0.23,1.46,-0.19,2.3,0.2,2.1
7,Edward Scott,2003,Clemson,28,38.5,17.7,15.3,0.84,0.50,0.44,0.39,0.28,5.75,0.38,2.04,2.71,1.4,0.1,1.6
8,Antawn Dobie,2003,Long Island,26,38.4,19.1,15.5,0.78,0.52,0.45,0.41,0.35,7.42,0.48,1.30,-1.87,1.7,0.1,2.0
9,Brandon Hunter,2003,Ohio,30,38.3,21.5,13.8,0.93,0.57,0.54,0.81,0.09,2.60,0.19,0.72,-5.04,0.8,1.2,2.8
10,Keydren Clark,2003,St. Peter's,29,38.2,24.9,20.1,0.92,0.55,0.49,0.30,0.48,4.17,0.21,1.05,-3.00,1.4,0.2,1.9
11,Brent Darby,2003,Ohio St,32,38.1,18.3,13.5,0.87,0.54,0.44,0.59,0.38,4.41,0.33,1.22,-1.90,1.8,0.1,2.7
12,Shawn Ray,2003,NCCU,1,38.0,26.0,18.0,1.18,0.63,0.64,0.33,0.39,4.00,0.22,4.00,4.59,1.0,2.0,2.0
13,Andre Barrett,2003,Seton Hall,30,37.9,16.7,12.5,0.91,0.57,0.51,0.39,0.41,5.30,0.43,1.54,0.27,1.5,0.1,1.9
14,Tee Trotter,2003,UMES,28,37.7,20.5,16.3,0.90,0.55,0.49,0.33,0.47,3.07,0.19,0.84,-4.64,1.0,0.0,2.3
15,Jeb Ivey,2003,Portland St,27,37.6,15.0,13.8,0.79,0.50,0.45,0.20,0.51,2.70,0.20,0.74,-5.10,0.7,0.0,2.7
16,Marc Stricker,2003,UMKC,17,37.6,8.6,6.4,0.88,0.64,0.62,0.14,0.91,5.06,0.79,1.69,1.06,1.1,0.0,2.5
17,Darshan Luckey,2003,St. Francis (PA),28,37.5,21.6,18.8,0.82,0.49,0.43,0.38,0.31,1.64,0.09,0.40,-7.81,1.7,0.3,2.3
18,Seamus Boxley,2003,Portland St,4,37.5,10.0,9.3,0.64,0.45,0.41,0.46,0.27,2.75,0.30,0.65,-6.64,1.0,1.0,3.3
19,Kyle Williams,2003,Howard,30,37.5,15.1,15.2,0.75,0.46,0.43,0.21,0.40,2.50,0.16,0.75,-4.41,1.4,0.5,2.9
20,Bryan Crislip,2003,FGCU,2,37.5,9.5,10.0,0.58,0.40,0.30,0.45,0.30,7.50,0.75,1.88,2.57,2.0,0.0,3.0
21,Steve Esterkamp,2003,Ohio,30,37.5,14.7,11.5,0.97,0.57,0.53,0.27,0.46,1.77,0.15,0.82,-2.72,1.4,0.3,3.2
22,Ron Williamson,2003,Howard,30,37.2,21.7,15.9,1.02,0.59,0.52,0.37,0.50,2.33,0.15,0.97,-2.25,1.5,0.0,2.0
23,Jamar Wilson,2003,Albany,27,37.2,18.9,13.9,0.94,0.59,0.53,0.36,0.25,3.30,0.24,0.91,-4.10,0.8,0.1,3.0
24,Marques Green,2003,St. Bonaventure,27,37.1,21.3,17.1,0.92,0.55,0.50,0.29,0.52,8.00,0.47,2.20,4.47,2.6,0.0,2.9
25,Chaz McCrommon,2003,Robert Morris,27,37.1,16.4,13.4,0.96,0.56,0.53,0.23,0.22,2.07,0.15,0.93,-2.35,0.6,0.7,2.6
26,Antoine Johnson,2003,Albany,28,37.0,13.6,12.0,0.93,0.54,0.51,0.14,0.50,1.79,0.15,0.96,-1.92,1.3,0.3,2.0
27,Andre Emmett,2003,Texas Tech,34,37.0,21.8,17.5,0.97,0.55,0.51,0.32,0.06,1.85,0.11,0.89,-2.31,1.9,0.5,1.5
28,Romain Sato,2003,Xavier,32,36.9,18.1,13.8,0.99,0.56,0.51,0.37,0.56,2.28,0.16,1.18,-1.11,1.0,0.3,2.2
29,Maurice Carter,2003,Robert Morris,27,36.9,19.2,14.5,0.98,0.57,0.52,0.38,0.56,2.41,0.17,1.00,-2.26,0.8,0.1,2.2
30,Whit Holcomb-Faye,2003,Radford,30,36.7,14.3,12.8,0.76,0.46,0.39,0.46,0.30,4.07,0.32,1.36,-0.80,1.1,0.1,2.0
31,Chris Thomas,2003,Notre Dame,34,36.6,18.7,15.4,0.86,0.54,0.48,0.30,0.40,6.94,0.45,1.66,1.17,1.8,0.2,2.4
